dataset,method,class,support,prevalence,rare,P_mean,R_mean,R_sd,F1_mean,F1_sd
galar_pathology,hce,2,99474,0.009509,0,0.0827,0.0752,0.0626,0.0609,0.0421
galar_pathology,hce,3,85713,0.008194,0,0.3869,0.4969,0.2845,0.4217,0.1833
galar_pathology,hce,4,48924,0.004677,0,0.0897,0.0403,0.0076,0.0534,0.0173
galar_pathology,hce,5,43701,0.004178,0,0.0535,0.0691,0.0599,0.0561,0.0424
galar_pathology,hce,6,43533,0.004162,0,0.0404,0.0359,0.0117,0.0357,0.0190
galar_pathology,hce,7,32997,0.003154,0,0.0004,0.0000,0.0001,0.0001,0.0001
galar_pathology,hce,8,17946,0.001716,1,0.1531,0.0500,0.0659,0.0739,0.0944
galar_pathology,hce,9,7389,0.000706,1,0.0400,0.1382,0.0711,0.0559,0.0503
galar_pathology,hce,10,180,0.000017,1,0.0016,0.0060,0.0133,0.0025,0.0056
galar_pathology,hce,11,42,0.000004,1,0.0000,0.0417,0.0932,0.0000,0.0000
galar_pathology,hce_auto,0,8960238,0.856549,0,0.9289,0.9349,0.0160,0.9319,0.0194
galar_pathology,hce_auto,1,1120725,0.107135,0,0.5860,0.5891,0.1193,0.5866,0.1119
galar_pathology,hce_auto,2,99474,0.009509,0,0.0855,0.0760,0.0612,0.0626,0.0412
galar_pathology,hce_auto,3,85713,0.008194,0,0.4049,0.4913,0.2822,0.4313,0.1939
galar_pathology,hce_auto,4,48924,0.004677,0,0.0952,0.0430,0.0072,0.0548,0.0161
galar_pathology,hce_auto,5,43701,0.004178,0,0.0507,0.0729,0.0643,0.0533,0.0387
galar_pathology,hce_auto,6,43533,0.004162,0,0.0395,0.0355,0.0112,0.0358,0.0179
galar_pathology,hce_auto,7,32997,0.003154,0,0.0085,0.0001,0.0002,0.0002,0.0004
galar_pathology,hce_auto,8,17946,0.001716,1,0.1489,0.0558,0.0713,0.0796,0.0981
galar_pathology,hce_auto,9,7389,0.000706,1,0.0464,0.1119,0.0728,0.0597,0.0515
galar_pathology,hce_auto,10,180,0.000017,1,0.0333,0.0060,0.0133,0.0101,0.0226
galar_pathology,hce_auto,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,pact,0,8960238,0.856549,0,0.9294,0.9334,0.0147,0.9314,0.0186
galar_pathology,pact,1,1120725,0.107135,0,0.5837,0.5912,0.1192,0.5864,0.1120
galar_pathology,pact,2,99474,0.009509,0,0.0832,0.0788,0.0639,0.0607,0.0394
galar_pathology,pact,3,85713,0.008194,0,0.3957,0.4928,0.2842,0.4261,0.1902
galar_pathology,pact,4,48924,0.004677,0,0.0878,0.0464,0.0091,0.0577,0.0182
galar_pathology,pact,5,43701,0.004178,0,0.0539,0.0784,0.0630,0.0581,0.0369
galar_pathology,pact,6,43533,0.004162,0,0.0391,0.0373,0.0104,0.0358,0.0176
galar_pathology,pact,7,32997,0.003154,0,0.0085,0.0001,0.0002,0.0002,0.0004
galar_pathology,pact,8,17946,0.001716,1,0.2119,0.0268,0.0291,0.0472,0.0520
galar_pathology,pact,9,7389,0.000706,1,0.0732,0.0871,0.0743,0.0569,0.0574
galar_pathology,pact,10,180,0.000017,1,0.0333,0.0060,0.0133,0.0101,0.0226
galar_pathology,pact,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,pact_uncon,0,8960238,0.856549,0,0.9297,0.9327,0.0179,0.9311,0.0196
galar_pathology,pact_uncon,1,1120725,0.107135,0,0.5821,0.5937,0.1226,0.5867,0.1121
galar_pathology,pact_uncon,2,99474,0.009509,0,0.0846,0.0771,0.0618,0.0616,0.0397
galar_pathology,pact_uncon,3,85713,0.008194,0,0.3934,0.4942,0.2813,0.4261,0.1942
galar_pathology,pact_uncon,4,48924,0.004677,0,0.0920,0.0465,0.0085,0.0570,0.0163
galar_pathology,pact_uncon,5,43701,0.004178,0,0.0497,0.0792,0.0671,0.0538,0.0367
galar_pathology,pact_uncon,6,43533,0.004162,0,0.0374,0.0367,0.0118,0.0354,0.0177
galar_pathology,pact_uncon,7,32997,0.003154,0,0.0057,0.0000,0.0000,0.0000,0.0001
galar_pathology,pact_uncon,8,17946,0.001716,1,0.1766,0.0367,0.0449,0.0594,0.0706
galar_pathology,pact_uncon,9,7389,0.000706,1,0.0706,0.0880,0.0706,0.0618,0.0560
galar_pathology,pact_uncon,10,180,0.000017,1,0.0333,0.0060,0.0133,0.0101,0.0226
galar_pathology,pact_uncon,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hceb,0,8960238,0.856549,0,0.9284,0.9353,0.0167,0.9318,0.0196
galar_pathology,hceb,1,1120725,0.107135,0,0.5901,0.5791,0.1122,0.5836,0.1097
galar_pathology,hceb,2,99474,0.009509,0,0.0852,0.0749,0.0622,0.0611,0.0416
galar_pathology,hceb,3,85713,0.008194,0,0.3909,0.4874,0.2889,0.4202,0.1922
